player,scoring_avg,driving_accuracy,gir_pct,birdie_avg
Scottie Scheffler,68.0,63.0,71.4,4.700
Tommy Fleetwood,69.4,65.4,65.8,4.162
Rory McIlroy,69.1,51.2,67.7,4.224
Russell Henley,69.3,68.7,70.1,4.125
J.J. Spaun,69.5,62.0,69.5,4.110
Ben Griffin,69.2,60.0,69.7,4.106
Justin Thomas,69.7,53.3,65.3,4.463
Sepp Straka,69.5,65.7,70.2,4.289
Patrick Cantlay,69.8,58.9,70.0,4.135
Justin Rose,70.6,58.5,64.0,4.190
Harris English,69.9,61.8,66.7,3.568
Cameron Young,70.1,53.9,64.2,4.299
Keegan Bradley,69.9,61.4,66.0,3.825
Robert MacIntyre,69.5,61.5,68.7,4.060
Maverick McNealy,69.9,59.1,68.1,3.872
Ludvig Åberg,70.0,59.5,66.2,4.159
Corey Conners,70.0,66.6,69.2,3.864
Collin Morikawa,69.9,70.7,69.2,4.013
Andrew Novak,70.4,57.2,61.5,3.719
Shane Lowry,70.1,63.0,67.1,3.586
Sam Burns,69.6,60.2,66.1,4.245
Hideki Matsuyama,69.8,58.5,65.7,4.023
Viktor Hovland,70.0,63.1,67.3,4.200
Brian Harman,70.2,63.3,65.7,3.730
Nick Taylor,69.9,66.6,68.9,3.768
Sungjae Im,70.3,68.0,62.6,3.938
Akshay Bhatia,69.9,60.5,67.5,4.287
Chris Gotterup,69.3,55.7,70.3,4.066
Xander Schauffele,70.1,55.6,66.9,3.922
Jacob Bridgeman,69.9,60.6,65.2,4.000
Lucas Glover,70.3,68.4,65.4,3.853
Sam Stevens,70.1,59.7,66.2,3.630
Harry Hall,68.8,58.1,65.0,4.564
Tom Hoge,70.9,60.5,62.9,3.717
Si Woo Kim,69.7,66.8,66.7,4.101
Daniel Berger,70.3,66.4,68.2,3.709
Michael Kim,70.2,58.9,65.0,3.531
Ryan Fox,70.2,52.3,64.2,3.914
Taylor Pendrith,70.0,58.7,69.0,3.878
Ryan Gerard,70.1,63.4,65.8,3.633
Denny McCarthy,70.1,60.8,66.4,3.682
Matt Fitzpatrick,70.1,61.3,66.7,3.757
Max Greyserman,70.3,55.8,65.4,4.151
Jason Day,70.0,61.1,66.0,3.887
Thomas Detry,70.6,56.8,65.2,3.537
Kurt Kitayama,69.3,57.8,67.8,4.297
Rickie Fowler,69.8,63.7,65.3,3.987
Sami Välimäki,69.7,62.4,69.0,4.165
Brian Campbell,71.1,66.8,61.2,3.721
Bud Cauley,70.1,61.2,65.9,3.824
Min Woo Lee,70.6,55.5,63.8,3.788
Aaron Rai,70.0,73.9,70.5,3.847
J.T. Poston,70.2,66.1,66.2,3.793
Jordan Spieth,70.1,58.1,64.6,3.897
Aldrich Potgieter,70.6,55.6,64.5,3.909
Jake Knapp,69.5,55.6,67.6,4.416
Chris Kirk,70.1,61.2,68.0,3.808
Nico Echavarria,69.8,64.5,67.2,4.101
Wyndham Clark,70.1,55.5,65.9,4.146
Joe Highsmith,71.1,61.6,61.7,3.707
Jhonattan Vegas,70.8,54.2,66.8,3.718
Patrick Rodgers,69.8,60.0,66.2,4.071
Stephan Jaeger,70.3,54.7,64.8,4.056
Byeong Hun An,70.4,54.3,65.8,3.826
Tony Finau,71.0,56.9,64.9,3.648
Kevin Yu,69.5,63.3,70.7,4.247
Rico Hoey,69.3,67.7,73.1,4.220
Max McGreevy,69.7,68.8,68.8,4.044
Mackenzie Hughes,70.4,56.8,65.5,3.523
Davis Riley,70.7,55.1,63.1,3.814
Garrick Higgo,68.9,58.1,71.6,4.958
Davis Thompson,70.0,64.1,69.5,4.100
