player,gir_pct,driving_accuracy,scoring_avg,birdie_rate_per_hole
Tim Widing,0.6609999999999999,0.5579999999999999,71.0,0.2186111111111111
Cameron Percy,0.6940000000000001,0.635,70.5,0.18905555555555556
Doug Ghim,0.71295,0.6575,69.72500000000001,0.2186722222222222
Ryan Fox,0.6472941176470589,0.523,70.22941176470587,0.2165457516339869
J.T. Poston,0.66565,0.6510999999999999,70.035,0.2169472222222222
Steven Fisk,0.7170000000000001,0.609,69.8,0.21194444444444444
Alex Noren,0.675125,0.604625,69.625,0.20807638888888888
Zecheng Dou,0.6759999999999999,0.545,70.5,0.21766666666666667
Brian Harman,0.6600999999999999,0.6479999999999999,69.99,0.21064166666666664
Adam Scott,0.6613,0.5754999999999999,70.22999999999999,0.21936111111111112
Brendon Todd,0.642625,0.68025,70.1,0.2109305555555555
Henrik Norlander,0.6969000000000001,0.6489499999999999,69.96,0.20725277777777779
Ryan Armour,0.691,0.711,70.7,0.19444444444444445
Danny Willett,0.612,0.58,71.2,0.17577777777777778
Chez Reavie,0.6887499999999999,0.6742499999999999,70.4875,0.19862499999999997
Will Zalatoris,0.653,0.6,70.5,0.1905
S.Y. Noh,0.667,0.526,70.6,0.21566666666666665
Trevor Cone,0.6991999999999999,0.5855999999999999,70.44,0.20946666666666666
Tom Whitney,0.6920000000000001,0.654,70.7,0.2167222222222222
Troy Merritt,0.6579999999999999,0.6598749999999999,70.5125,0.21498611111111113
Tyrrell Hatton,0.664,0.594,69.4,0.22577777777777777
Andrew Novak,0.6476500000000001,0.5778,70.03,0.21192499999999997
Gary Woodland,0.6726,0.5788,70.28,0.20559444444444447
Hayden Springer,0.6687058823529413,0.5841176470588235,69.91176470588235,0.23495751633986928
Jason Dufner,0.6859999999999999,0.58,70.9,0.20450000000000002
Vince Whaley,0.679,0.5575882352941176,69.48823529411764,0.22522875816993465
Josh Teater,0.684,0.637,71.4,0.19088888888888889
Matthew Riedel,0.682,0.597,71.1,0.1995
James Hahn,0.6829999999999999,0.6459999999999999,70.9,0.19861111111111113
Hideki Matsuyama,0.6613000000000001,0.58725,69.765,0.22032777777777776
Séamus Power,0.68185,0.6320999999999999,69.91000000000001,0.2147
Andrew Putnam,0.6986,0.69165,69.735,0.209825
Adam Hadwin,0.6608499999999999,0.6226999999999999,70.37,0.2166722222222222
Sean O'Hair,0.6659999999999999,0.624,70.6,0.21155555555555552
Tano Goya,0.687,0.616,70.1,0.23394444444444445
Victor Perez,0.685,0.601,69.8,0.19755555555555557
Justin Suh,0.667375,0.6327499999999999,70.2875,0.22750694444444441
Jimmy Walker,0.6409999999999999,0.523,70.9,0.19766666666666666
Paul Barjon,0.63,0.575,71.7,0.19783333333333333
Will Gordon,0.6968000000000001,0.588,70.49999999999999,0.19846666666666665
Chesson Hadley,0.6873750000000001,0.5904999999999999,70.02499999999999,0.22100694444444444
Martin Trainer,0.632625,0.5565,71.31249999999999,0.19655555555555554
Jon Rahm,0.705,0.5770000000000001,68.8,0.24961111111111112
Ryan McCormick,0.685,0.551,70.8,0.21438888888888888
Billy Horschel,0.6553749999999999,0.6335,70.02499999999999,0.208375
Sahith Theegala,0.6607000000000001,0.5687,70.475,0.2228
David Lingmerth,0.61,0.67,71.1,0.19505555555555557
Aaron Baddeley,0.6429999999999999,0.5763749999999999,70.425,0.20266666666666663
John Pak,0.672,0.677,70.5,0.20888888888888887
Ben Kohles,0.7204705882352942,0.7236470588235294,69.87647058823529,0.21387908496732028
Sam Burns,0.6537499999999999,0.6001,69.66,0.23503333333333332
Pierceson Coody,0.7117058823529412,0.6185882352941175,69.32352941176471,0.24350326797385619
Cam Davis,0.63605,0.55925,70.77499999999999,0.21345555555555554
Vincent Norrman,0.6856249999999999,0.5811249999999999,71.0625,0.18749999999999997
Thorbjørn Olesen,0.693764705882353,0.6171176470588235,69.75294117647059,0.21932679738562091
Kristoffer Ventura,0.696,0.627,69.8,0.22683333333333333
Austin Smotherman,0.7065,0.63975,70.0875,0.21180555555555555
Sam Ryder,0.66535,0.61555,69.925,0.22988611111111112
Thriston Lawrence,0.6709999999999999,0.63,71.1,0.1955
Ben Taylor,0.641125,0.529625,71.14999999999999,0.19114583333333332
Alex Smalley,0.69265,0.6282,69.65,0.22560833333333336
Kevin Streelman,0.675375,0.6261249999999999,70.44999999999999,0.20400000000000001
Denny McCarthy,0.6552500000000001,0.61355,69.97,0.20878888888888888
Keith Mitchell,0.70055,0.6051,69.435,0.24231666666666668
Harrison Endycott,0.662,0.624,70.7,0.2041111111111111
Niklas Nørgaard,0.6990000000000001,0.516,70.2,0.22511111111111107
Lanto Griffin,0.6854,0.61965,70.36,0.21158333333333332
Rasmus Højgaard,0.6679999999999999,0.557,70.2,0.22977777777777778
Rikuya Hoshino,0.647,0.622,70.1,0.22972222222222224
Braden Thornberry,0.638,0.537,71.0,0.19305555555555556
Luke Clanton,0.706,0.591,69.9,0.2165
Jhonattan Vegas,0.6841764705882352,0.5564117647058824,70.35882352941175,0.2148725490196078
Russell Knox,0.7170000000000001,0.627,70.4,0.1963888888888889
Stewart Cink,0.66,0.527,70.5,0.20766666666666667
Chad Ramey,0.6844,0.6393,70.025,0.2174611111111111
Doc Redman,0.6990000000000001,0.622,70.7,0.2101111111111111
Jorge Campillo,0.6629999999999999,0.618,69.9,0.20622222222222222
Daniel Berger,0.6908235294117648,0.6757647058823529,70.09411764705882,0.2114313725490196
Taylor Montgomery,0.6273500000000001,0.51275,69.95,0.23351388888888888
Tyler Duncan,0.688,0.6715,70.4125,0.19640277777777776
Karl Vilips,0.677,0.5660000000000001,70.2,0.2195555555555556
Patton Kizzire,0.6796499999999999,0.6093,70.075,0.22886666666666666
Lucas Glover,0.6709,0.687,70.14,0.21735
Wilson Furr,0.665,0.542,70.9,0.20149999999999998
Min Woo Lee,0.6427058823529412,0.5605882352941177,70.45294117647057,0.2125032679738562
Andrew Landry,0.64,0.642,71.4,0.18611111111111112
Davis Thompson,0.6926,0.62995,69.825,0.22646666666666662
Richy Werenski,0.628,0.584,71.0,0.20816666666666667
Cameron Champ,0.6867499999999999,0.60525,70.475,0.2002361111111111
Aldrich Potgieter,0.645,0.556,70.6,0.21716666666666662
Tony Finau,0.6655500000000001,0.5784499999999999,70.45,0.21529444444444443
Russell Henley,0.6873499999999999,0.69485,69.425,0.22409166666666663
Rico Hoey,0.7245294117647059,0.6646470588235295,69.35882352941177,0.23348039215686273
Nick Dunlap,0.650764705882353,0.5230588235294118,71.03529411764706,0.21458169934640522
Satoshi Kodaira,0.691,0.71,70.1,0.22044444444444447
Matthias Schwab,0.6559999999999999,0.615,71.0,0.18661111111111112
Matt McCarty,0.6679999999999999,0.6509999999999999,69.7,0.2346666666666667
Scottie Scheffler,0.7230000000000001,0.6384,68.045,0.2611861111111111
Patrick Cantlay,0.68245,0.59765,69.675,0.23169444444444445
Thomas Detry,0.64725,0.575,70.345,0.20834444444444444
Robert MacIntyre,0.6790588235294118,0.6005882352941176,69.47058823529412,0.2232679738562091
Eric Cole,0.6402,0.57185,70.00999999999999,0.22714722222222222
David Skinns,0.6901176470588236,0.576,70.27058823529413,0.21044444444444443
Ben Silverman,0.6819411764705883,0.6381764705882353,69.89411764705882,0.21307516339869279
Dylan Frittelli,0.596,0.47,71.8,0.18733333333333332
Hank Lebioda,0.6759999999999999,0.5870000000000001,71.5,0.18122222222222223
Jim Herman,0.675,0.659,71.5,0.18255555555555555
Taylor Pendrith,0.68575,0.5791000000000001,69.935,0.2209638888888889
Mackenzie Hughes,0.65065,0.5607499999999999,70.19500000000001,0.20341944444444446
Matti Schmid,0.68875,0.5843499999999999,70.00500000000001,0.23301666666666665
Mac Meissner,0.6816470588235295,0.6065882352941177,69.7529411764706,0.2159313725490196
Danny Walker,0.65,0.5589999999999999,70.5,0.2367222222222222
Emiliano Grillo,0.67775,0.6621,70.02,0.21519999999999997
Ryan Gerard,0.6579999999999999,0.634,70.1,0.20183333333333334
